"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","phenoid"
"cell435",2.34592313162484,5.9121822970468,-0.0339628037660241,3.55777692168238,-1.08670498349451,7.08249932170878,-0.0542762414307516,0.639726689555158,-2.97434089588068,1.80865281186864,0.532813019346254,-2.92638222790773,1.12688425976961,-2.13048084194664,0.314440246375601,-1.51500336935089,1.79617863014526,-0.667488655102882,0.471424379946586,-0.88007907573775,-0.278877968798716,2.0846197806428,"CD4+/CD45RO+_Memory"
"cell505",3.50666722390645,6.0307446961009,-3.99325997452654,-8.23241898612809,6.50774337549521,-2.74967860383406,-2.20298894299016,-4.7016875301978,0.103077853204791,7.78526669161641,0.845723710014107,5.47963189174452,-3.15851317307586,-1.18947291262685,0.622053006332633,0.592966072370782,-1.58137997102595,2.98917309730803,-0.523460950532961,1.44966444598793,0.901022816917386,1.54505630139773,"CD14+_Monocyte"
"cell746",2.99027138456208,7.38075770593958,2.8387442205452,-1.45070711462265,-1.08470200833634,-5.37524901217776,2.32022550923261,0.75409161905682,-0.622057312369106,0.304580083567468,-0.0019920895837711,-2.3493505725566,0.976170849682848,-2.20235572861952,-0.0734173339579567,-0.883092773745089,1.88784023663959,1.47527711696537,-0.241069073747838,-0.779453810765447,1.44118525690934,3.46923248332435,"CD4+/CD25_T_Reg"
"cell850",-2.71460413978446,0.0370548821451905,-16.3279321204554,-5.12250057903376,-2.14738800884065,3.43786051413424,-1.10305195336179,4.09759175168448,0.36791577908931,-6.29981518672684,0.632700049216902,-0.55986257695042,1.70379955797996,-3.41212197702324,-0.297143809602861,-0.743873222409948,0.726392259267702,0.697809548454908,0.231411038666699,3.04791896280063,1.91334203912632,1.2690008681183,"CD19+_B"
"cell1017",6.47560085833944,-5.66876338996447,8.43602592194567,2.47238198849565,0.864898547624865,-1.68549237051068,-3.13252004803761,-0.811194778157638,0.545301728551605,-4.19167522543998,-2.43476617171918,3.40005163360611,5.48593635166938,-0.815947230361312,-4.22932448268867,-2.94330459359039,-15.1685230030484,-7.79709641744284,-2.92267487970213,-11.7687835085302,-2.65886757122679,-17.6927647099154,"CD4+/CD45RA+/CD25-_Naive_T"
"cell1240",5.13435362199117,-25.2563195167295,-11.8653714787361,-6.00866166580644,9.65671641031455,5.28879512860985,-4.19822393521213,18.3393151119244,-7.0594008521695,-2.3153602731359,6.64350568619648,8.89677034408992,4.09290176215944,1.36391415838638,0.367610263249775,9.71753356792903,2.1222212768056,-10.9379327654319,-3.94400940044294,10.8645275392918,-3.64944056353026,3.41199795296836,"CD8+_Cytotoxic_T"
"cell2438",-45.4938939723639,-3.54576071510835,1.61060359804505,-1.26044693139326,2.611473653115,-3.62650111148912,-2.23379325616157,-0.0288417485281901,-0.50547227633072,1.10463912754044,2.15716390990479,0.816107983110299,-0.678953778334606,-3.87717837783149,-1.10546748330509,6.06706061980616,-6.76168110788049,4.91456384096091,-2.65954536190322,1.56739998986883,0.34266256201296,1.18851989366575,"Dendritic"
"cell2624",4.48552515923684,5.50661670882491,5.17285793960744,2.09520853208389,-0.152441449144793,-7.55303855769331,1.25037755446044,3.00233582983083,0.763361365141357,-2.386057899174,-1.84162334759061,0.144125361283302,-2.28047860467142,0.844827390372307,-0.81595673040586,-2.42423212258461,1.16699953983433,1.17156934129183,-1.92698953743697,-3.45380490424808,2.31516231080267,-1.2537800219051,"CD8+/CD45RA+_Naive_Cytotoxic"
"cell3238",8.79607632891861,-33.6680581845387,41.8594816468793,-48.1398825122483,-48.2849032459459,22.5359533081352,59.2642426823516,31.6954475097831,88.6837046152899,26.3041696812478,1.59323700517606,-0.290151446241049,-10.8849586206217,1.97217158661946,0.98389027640597,-3.39578428744248,0.312942081147039,-9.41950548080922,3.46733332487244,2.08726815201653,-0.738558448988119,3.41388888713321,"Dendritic"
"cell3365",1.97073993113813,1.83385211696628,-0.022458355194888,9.520698942447,-2.89537689995497,10.4081750628794,-2.36779272630424,-4.37106405181206,-2.13615511028782,2.78913585343442,-3.69982798177053,-0.108661821978893,-0.0224794527178569,-1.19635377683497,1.24526704167765,0.640843875934183,-1.73923326157485,-1.74542141024287,1.30413239373245,-0.0234011564631915,-1.67859225094822,-1.50160732791894,"CD4+/CD45RO+_Memory"
