"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","phenoid"
"cell3238",-6.65515881078396,-55.27088287429,67.9557528939017,-115.602741602037,19.2619600492574,-6.54125266625194,3.24495284088955,-2.81069029906673,5.52107326849642,-4.06767348729984,6.34277372719092,-1.99919914748717,12.8725401514039,-1.84758306940595,6.35946386157624,-0.912299282785122,5.21073669943242,-1.81534258212003,"Dendritic"
"cell3365",-2.49278895225393,1.34027022932059,-0.402094271424261,5.56153861364155,2.8912627825067,-5.36085491985494,14.4713769715336,6.55312038090621,-2.64163219533983,-0.817940602834483,-4.79887509883476,-3.54351618756247,1.60598454836972,0.114035839387822,1.56896413828962,0.506627873622872,1.66420707814933,-0.610993911036098,"CD4+/CD45RO+_Memory"
"cell3367",-2.23162857369041,-2.95897754661507,6.77574571589573,4.97437309714287,3.15798488878988,-9.001383162809,13.6397245481396,9.27858337114429,2.11028345874035,5.3815935884358,-8.78572692562676,-0.435338539339463,-7.27355605840735,1.40861731480387,2.89844423813781,0.0767803835085005,0.40137194763361,7.97833333406551,"CD4+/CD45RO+_Memory"
"cell4216",-3.79877180663045,0.0780669950952622,4.3105483210511,2.91295806543478,2.89280815812246,-1.6312168391915,11.3823851959661,8.78641746888815,-1.23652038102571,-2.07991818988642,-1.00088198281761,-4.3440269125544,-1.20935505595193,-1.19862736994063,-7.05609131281589,-8.73490947083118,1.58775058043271,2.30909535553158,"CD4+/CD45RO+_Memory"
"cell4222",-2.84577598967611,7.93617232105332,0.198176954311618,-0.904566736114617,1.83218648875056,0.854440903888996,4.85543391835796,2.08763694485702,1.31692337262984,-2.42915270169819,-3.4375921597675,-0.514083766856025,-0.152907313815767,0.10580594105405,-1.24256466732989,-1.10215386337785,-1.11143795814518,0.449595043045533,"CD4+/CD45RO+_Memory"
"cell4574",-4.02297675420678,2.40998806971553,-2.03124165424451,-3.15363203846573,-3.49037953755047,4.26851247159918,-7.10446135357217,-5.24648171427327,-1.98204816726526,-0.676897687845006,-2.49297549804018,-4.55949810027527,0.939153172941031,1.71542399296821,-2.82322046350916,5.22144330150323,-0.659196188437428,-3.21481062863529,"CD14+_Monocyte"
"cell4579",-4.35142366533416,-0.789050303631919,-0.524327521808568,-3.21872527354023,-11.3916806097941,10.9494071849971,-10.4447153693995,-5.34527085578083,-2.27395818765734,-4.95422593156081,-17.1325165146264,-11.5290375870466,6.50187132958653,5.61504643757495,-11.2860494174461,14.4042458392619,7.84242992896391,-9.6212684686875,"CD14+_Monocyte"
"cell4731",-2.58631369727518,-17.5621040539491,-17.6082209998997,-3.11836882186135,9.77491555442499,-16.7195786138275,-4.94058121988698,-0.856866554575846,6.64910967565543,10.4688332617259,-0.39963129124636,2.55888475203691,7.66125573111164,0.15429230823348,-0.727543267937364,-0.45849734749264,-8.47427310984486,4.80147698042117,"CD19+_B"
"cell4751",-1.55517490266057,3.57237412038423,-15.9653741618661,-8.40627389986386,-2.00582302329404,0.675008442321908,0.437415923590098,-2.1083672553015,1.56427882243901,0.0872805499218518,3.92783731716047,2.37007592866909,0.811574075731525,0.667896746995337,-1.97217909377227,-1.740616696935,-0.477497123523191,-0.206472158495307,"CD19+_B"
"cell4770",0.87285065370565,5.54250196741211,-14.7028630998956,-7.55365249693873,-2.73186610690442,0.932241118585173,1.69207160815837,-0.47121921686179,1.77307769523278,0.687207772546029,4.7391551756941,0.540416998062845,0.49037528419207,3.11199328787874,-1.88878080987716,0.43040815942045,-0.680557996902338,-0.105388313355982,"CD8+_Cytotoxic_T"
"cell4792",0.600793376870279,2.23087394220876,-11.5716820374872,-10.4071366432518,-10.5702307256354,3.20746450325654,3.42078155306201,5.28104282181115,-0.802912446460914,-3.92453491259005,5.09835941827896,-2.26968763374487,-5.5731721893877,-4.73456958038975,5.87431263204436,2.05508654783715,-0.347341387092803,0.604105997608984,"CD8+_Cytotoxic_T"
"cell5211",55.9398232894935,-6.48872978331864,5.67085511078521,3.66801099491371,-0.711683329946184,3.18810462193298,-5.58415807191618,-2.49103710681139,-2.02785896298171,1.66681991458287,0.77573015671459,1.39585235838376,1.11479449696262,-1.6200887524083,4.33843315092048,1.06498507180316,4.15278972171622,-4.15986785556523,"Dendritic"
"cell5307",-6.75984512310575,-1.53368205864865,7.10958892851146,6.11617462085836,1.89000492060147,-0.744861956563544,-3.83885267097829,-2.41311046217923,1.7103553646404,2.73945605129648,2.24577929445974,1.26682004565317,-1.21435438322279,0.352166174604826,-3.8695321853503,-2.5203193540526,-0.427578405200881,4.77470848668563,"CD56+_NK"
"cell5310",-6.57168502729031,-0.372072164229907,6.34194408181396,2.39103312204934,0.273089494771115,-1.22468077950505,-2.49536473761078,-0.915894170074618,-0.180739979153661,4.52338489052786,3.59409822539768,2.03841200106532,-8.34019748496667,-0.790684713014863,-1.03641820407925,-2.0331940800023,5.96387901778633,8.76723468405971,"CD56+_NK"
"cell5539",-3.51200096579305,3.46483263680513,-3.50471517789934,-1.29922929301116,-4.81329024359328,5.8496971023807,-11.0166286035861,-2.34088692820023,-3.01794411460708,-5.24000005920741,-9.8537318899849,-10.78311565795,2.14294052902206,-0.82343947532031,-4.30057844796703,5.92527840279049,5.02718942162832,-4.36146884174097,"CD14+_Monocyte"
"cell5581",-5.35071428568753,0.0124460035265335,7.86136992111192,4.98466926366109,3.46739839787904,-1.58760508234429,-2.13464738358171,-1.7717754356777,2.4861529617022,-1.17801379197234,2.59903048859068,0.731889584862603,5.00545675091157,0.60341028927,5.75215959940895,-8.3322727683118,0.397935565550984,-5.45377374899338,"CD4+/CD45RA+/CD25-_Naive_T"
"cell5584",-3.92690131009687,3.27862360105615,-0.498747545198473,-2.87268854648919,-3.98342037265438,2.96062473780607,-5.76205971046434,-4.05284491343352,-1.40512473217225,-3.05262389560635,-4.33443427911139,-5.21999881253118,3.57883058685044,1.65780333973117,-4.82426172923153,5.37462015341948,-2.28581845529875,1.41994099211471,"CD14+_Monocyte"
"cell5624",-1.26334154494182,9.09104382237091,-2.93044543885383,-1.48961649349013,-0.705096835569444,0.677549176138472,1.13471835277476,0.9368011854319,1.38297241777118,-3.0087635661592,-0.221004509828794,2.50677311094558,-0.209550172405335,0.235352188308164,0.456081089825204,-0.746633075311288,0.788076570785638,0.636108892202291,"CD4+/CD45RA+/CD25-_Naive_T"
"cell5925",1.52988904585623,7.66259368941193,-13.7236036719181,-8.78629194582682,-3.00778089748508,-0.236422531538606,0.310706227057218,-1.70874049304754,2.76921979274309,0.53121390910798,2.84039264002131,0.509538209816146,-1.16762090148802,2.25497896256607,-1.0242482266533,-1.3389218286953,1.19365714018495,2.37242771525004,"CD19+_B"
"cell5950",-2.18800816936072,-24.946794485092,-22.5217769367655,4.28371957890825,15.5529279708102,-17.3178595678733,-15.8113748393052,-8.72102839457377,5.00948810282671,11.192168786143,-6.67566843877939,-6.86746332815296,8.40761900800653,9.86295446318917,-4.6378920621775,-6.41949350858534,12.6607986066544,22.7540934867889,"CD19+_B"
"cell5972",-2.90428965735097,6.10592185628791,-0.294991252600036,0.283955494001479,1.4281683586569,-2.96406960647917,4.8522861353403,2.72963902511265,0.114233489276546,-2.52756948469163,-2.10276834200697,-0.220450560741624,0.43158307330122,1.61663464873796,-0.841142829060819,-2.30469625077155,1.06198639014348,0.872195524923978,"CD4+_T_Helper2"
"cell5973",-1.6986594895343,6.39159219294487,0.0322353607891895,-2.03695590474144,-0.416900506155701,-3.72710841219978,8.18300656370761,2.26051067152569,-0.96790579882405,-0.828905156988375,-0.414226713842402,-0.200702033459771,0.303723595002465,1.46749710313722,-0.529981828949542,-0.51713511543151,-0.0204820438846327,-0.935736177073141,"CD4+_T_Helper2"
"cell6063",-5.89928049686463,0.36173455703812,6.94980779883196,3.01137740631556,5.78093813029956,0.369349578862231,-6.93368630594717,-3.30963934070374,-1.81640905402166,2.35561518088508,-0.00480932070202835,1.01018341187424,0.8284916860812,-0.348300624657148,-0.75281197631668,-1.29106936186162,-0.360307717770267,-2.52144521863361,"CD4+/CD25_T_Reg"
"cell6071",-5.15898790494156,4.24386848485161,6.03494280365785,-0.836286920949329,2.89101219468659,0.716693882825414,-5.40631751049052,0.837971786590917,2.37005886805679,2.84967813710423,3.53308527653065,6.3602865184919,-1.11163503740998,-2.45549502301554,2.72716132787369,-1.75519110769224,0.912520125068489,0.0182947372232759,"CD4+/CD25_T_Reg"
"cell6679",-4.68989122051229,3.41662454339671,4.55223580161773,2.0186127378476,0.560590131442313,-0.939348728144097,0.841243431509323,0.0447646433318746,2.76386064067457,0.555654171091389,6.61513611835394,-3.7656708305931,0.243379158623882,0.473810534451657,-0.822466406888772,0.507307563009914,5.11611241403978,2.63003687974866,"CD56+_NK"
"cell6688",-9.44516088658203,-19.8988431066094,22.4923459030059,28.0763441874299,9.3931665068809,4.77381774248303,1.06075055973965,-7.18210307836438,29.9799873049047,-13.8513243219309,62.6200771133768,-81.617322620952,9.43870775969944,19.6399277545252,-7.82181017172516,3.537306579415,-2.88280677102103,7.5267454258727,"CD56+_NK"
"cell6693",-3.64555132039952,7.70062437225642,1.00942046066037,-0.288619871885879,2.00005012077893,1.09115171989386,-0.208692102252208,-1.0549982459438,-0.222886818706046,-1.9431407705739,0.0884444393320568,2.57286422903425,1.11170436054805,1.97068923183134,-0.0261629864903134,-1.92600013484729,1.69739860832276,0.290406167672996,"CD4+_T_Helper2"
"cell6701",-3.61733466307128,3.1278585679146,-0.637525623066431,1.54394696493343,2.57295833505279,-2.492036645807,8.47610814272293,4.73449650014294,-2.18991351932358,-3.10103523804256,-2.69370498905947,-2.25931291307877,-0.716590499649392,0.076861738555251,-0.607691571099629,-1.33698575285027,-1.78973296273974,0.108266013352449,"CD4+_T_Helper2"
"cell6844",-8.13153958978897,-3.91333320284579,10.7604321506791,8.55622787225805,3.81709258724793,4.67439399511123,-3.99690287986281,-3.04035379046027,-3.70927716621476,5.63920396881141,2.83884391363156,4.6047577089417,3.25637956226151,0.642805959172839,-4.01950001061838,-1.00679587064888,-6.9721576809509,0.799354624667147,"CD4+/CD45RA+/CD25-_Naive_T"
"cell6885",-5.0182824942988,4.27673306698108,4.13827474927133,2.7666458770451,0.758158385508548,-0.474152952999527,-0.888110842437396,-0.641360268125396,2.21455547824586,-0.343067454857275,1.22384524703226,4.0596943842144,-2.45976980804195,-1.73511160290939,1.09785606410444,1.56641405587171,-1.81240742556693,2.64302429012231,"CD4+/CD45RA+/CD25-_Naive_T"
"cell7106",0.322372351763627,6.74381546277492,-0.108726302381451,0.308626618129382,-0.872051713891473,-2.40439444214187,4.24064442497525,2.84030406905562,-1.92427790123831,-1.24172454681956,-3.4410125890767,-2.85207588814166,1.40462386625648,0.75323558891833,-1.34855507100454,-3.84985801546035,0.459909882377221,1.52170206975678,"CD4+/CD45RO+_Memory"
"cell7137",-7.15757540559251,-10.2782725327101,11.1733758306865,7.28661117092612,15.6883844263582,-8.52384994188739,22.1042209861131,15.5325642367362,-0.441988101267885,1.79765159451129,-27.2892948751317,-1.61265484833843,15.6293638507116,-6.52712100287649,-20.8177296849404,52.2197725492607,-14.2471306357146,5.9973046233349,"CD4+/CD45RO+_Memory"
"cell7491",-6.67385666966999,3.75721192508187,6.56524731438166,3.06793346057113,2.55064319503487,-0.537390787588974,-2.984458279159,-4.9577850936919,2.26037128783607,0.605940131580498,2.40690438927964,2.60755842351807,1.39913919549864,-2.10359409034653,1.91706273325967,0.641199196983145,-1.34211940730663,-1.10435413315409,"CD4+/CD25_T_Reg"
"cell7605",-5.31773764307607,6.51697630472733,3.6737157249926,-1.42261417366515,1.02678908970632,-0.729174169821549,-2.46784694349349,-2.69369235339106,1.59354412358713,-1.28831722552456,1.29468870781112,4.18164258147445,-1.84824119038275,1.28149067231412,1.89324030446827,0.0436198306944207,-0.561645268623902,-1.83182012280358,"CD4+/CD25_T_Reg"
"cell7926",-2.00927559813303,4.37440488045029,0.569548188434401,-0.153254855102765,4.20887166257839,-5.2935909189912,8.29857178679367,2.7684044475438,-0.652990284455938,-1.31509345354885,-4.55157532696393,-2.61511246035105,-0.689587622974727,-0.960563379540626,1.18266008157146,-1.76815524503816,-3.04541658610505,0.770179800448943,"CD4+_T_Helper2"
"cell7939",-3.67655890536378,3.13961400387267,4.12835162477159,2.28675328320125,1.38558239702954,-0.875154447720299,10.0290739807721,3.27358667818401,2.78298627624411,-2.13442534396053,-4.63974802286241,0.254041761821503,-2.02321764033417,1.73349185237174,1.30119967392014,-1.35452819425277,-1.50394978340775,-0.52049176791088,"CD4+_T_Helper2"
"cell8201",-3.86744887353242,7.48270292715346,-4.01117042143199,-4.49800536259872,-4.96831017312982,2.9892859662195,-7.0184596691655,-4.01018992844035,-1.96622209630874,-3.54293373658249,-3.08030540207956,-3.59182647039144,1.92783365109207,2.9767066028469,-0.972911310427098,5.07302182074664,-1.21351148927955,-2.64699122927454,"CD14+_Monocyte"
"cell8218",-4.43588300037203,2.53409137159852,-2.88470264466041,-2.96324104815615,-8.08287309936334,4.40093711054658,-9.16379724640933,-0.486661760465092,-3.6285471090089,-1.06847453173547,-6.68294617304332,-2.54480277494765,3.97557294635669,1.05489543632251,-2.06152090351547,2.8245990965331,-2.23069277127246,-2.51787887224807,"CD14+_Monocyte"
"cell8469",-0.625670067987154,9.18309925461503,-12.6516767133326,-9.27883957011363,-3.98974773985854,0.178324583801652,-0.343025321082959,-2.37357723785255,1.09571634321307,-0.881699928834941,5.65566088906478,0.55327817615852,0.413129881354124,1.99175374823593,-1.03618280182291,-0.732106903702502,-1.22406040421415,0.468596004231819,"CD19+_B"
"cell8515",-2.72043489336542,-18.1532100367549,-20.7007157991844,-1.49845062560197,4.75939314264606,-11.4053995804619,-0.630153365021544,-5.36927752004189,-2.28466665444992,8.91455536002572,3.40809633255666,-2.2273192041262,4.32759837284755,2.08251716955164,-5.27719154304758,-5.29428811784342,-0.614740134666197,9.28001800548211,"CD19+_B"
"cell8869",54.3819502335118,-3.1131373082657,3.99412624010308,0.603128841917317,-0.168336813631896,5.11507260268286,-6.00922023728114,-2.16228281178629,2.76420386544398,0.676926026862975,-5.47727374195632,1.4477597356167,-2.64222485492758,3.8826039617502,-2.47030793520491,3.77542312581535,-0.466949878040528,-3.5107071836563,"Dendritic"
"cell9428",67.5670967787205,-16.6580501659209,11.840057167403,7.92946996141834,2.5656112276867,2.48803983394633,-5.11723508272611,-3.64310028763772,-1.77899446638857,1.99994817117434,-1.62109368708851,-0.210875266211045,0.178689695861594,0.547622402233702,-5.11945709994292,3.89145099048098,-4.98059993623833,-6.6324630064968,"Dendritic"
"cell9972",-3.91931358802751,-4.03607443417654,-6.49344298663495,-7.07846727579997,-16.548698153592,7.04928582681699,1.20128100968185,8.5727547628331,-1.71764081512167,-7.66344154679098,5.75723607308468,-6.5650628778588,-4.6026282689288,-3.78795986349019,5.95811529291574,11.0092647195545,-2.56291145406223,1.19735076198651,"CD8+_Cytotoxic_T"
"cell9979",-6.04180344894119,-0.465757576574975,8.71955989539714,8.10161531557583,2.55994447349757,-0.781013783984701,0.681633674251234,0.67991156831074,3.4169323061058,0.586398310214367,-0.467192926628362,2.52819519358599,3.12946553512587,4.25578989256961,-1.47339966352425,5.79070713754636,-0.860371427779147,-0.0949536316574332,"CD4+/CD45RA+/CD25-_Naive_T"
"cell10005",-5.54301862779648,-28.3745228249707,-11.5005597050529,-4.56975652474065,-0.0686961274482408,13.1784050416289,-1.28814397555397,5.728972915554,-6.75107823505396,8.66063760583956,3.7535831055626,9.36601039276536,-8.35861811494142,-11.8171113698572,-21.8998969722165,3.17408934025566,-23.3661015845294,-20.268247018584,"CD8+_Cytotoxic_T"
"cell10089",-2.10441724324312,7.3729767562714,-0.559242956892058,-1.16457717633296,1.70989775737604,0.361496764559188,0.5102828881586,0.497091060573113,2.74354036966263,-0.172865117454984,-1.94307649580203,1.95185807535671,0.0738142750758665,-0.317972586127101,-0.283940383097282,-0.909644985604586,1.57855521390971,-0.23216201436053,"CD4+/CD45RA+/CD25-_Naive_T"
"cell10381",-5.03824186918675,5.75217866461195,3.15175683808507,1.06118289376839,1.97264345219124,1.87350085803033,-6.00216718275869,-4.10904367106368,-1.67983407442053,2.57133175797928,2.75048382408854,7.93837991441725,2.72103705122212,4.78532875624443,2.83660749870827,7.55521029881947,0.857176871756357,2.29520476388592,"CD4+/CD25_T_Reg"
